,id,headline,about,url,modified_date,published_date,primary_tag,secondary_tag
752,p4z4tn,'What the f---?': Liverpool draw Manchester City in Champions League,"Jurgen Klopp launched an attack on schedulers after Liverpool's Everton derby, sandwiched between the two legs of their Champions League, was brought forward.",https://theage.com.au//sport/soccer/what-the-f-liverpool-draw-manchester-city-in-champions-league-20180317-p4z4tn.html,2018-03-16T16:44:39Z,2018-03-16T16:44:01Z,UEFA Champions League,['EPL']
753,p4z4rk,Jedinak: English Championship better preparation for World Cup,A move from the Premier League to the Championship has better suited Mile Jedinak's international career.,https://theage.com.au//sport/soccer/jedinak-english-championship-better-preparation-for-world-cup-20180316-p4z4rk.html,2018-03-16T08:14:51Z,2018-03-16T06:20:14Z,Socceroos,"['A-League', 'EPL']"
754,p4z4ga,Old Trafford riches are not being translated into Euro glory,Manchester United are failing to punch their weight as the continent's biggest money-machine.,https://theage.com.au//sport/soccer/old-trafford-riches-are-not-being-translated-into-euro-glory-20180315-p4z4ga.html,2018-03-14T23:51:08Z,2018-03-15T00:00:00Z,UEFA Champions League,['EPL']
755,p4z43a,Man City's Silva scorches Stoke,David Silva finished off two sumptuous moves to guide Manchester City to a 2-0 win at relegation-threatened Stoke.,https://theage.com.au//sport/soccer/man-city-s-silva-scorches-stoke-20180313-p4z43a.html,2018-03-12T23:16:04Z,2018-03-12T23:16:04Z,EPL,[]
756,p4z3wl,Arsenal's form goes from hell to heaven,"Arsenal have eased their way past Watford 3-0 in the English Premier League, marking their first clean sheet in 12 league matches.",https://theage.com.au//sport/soccer/arsenal-s-form-goes-from-hell-to-heaven-20180312-p4z3wl.html,2018-03-11T20:53:30Z,2018-03-11T20:53:30Z,EPL,[]
757,p4z3w2,Relief for Wenger as Arsenal beat Watford 3-0,Arsenal have ended their three-game Premier League losing streak with a 3-0 victory over Watford.,https://theage.com.au//sport/soccer/relief-for-wenger-as-arsenal-beat-watford-3-0-20180312-p4z3w2.html,2018-03-11T16:01:07Z,2018-03-11T16:00:10Z,EPL,[]
758,p4z3tb,"Ugly scenes as West Ham fans revolt against players, directors during defeat to Burnley",Pitch invaders and protests mar West Ham's heavy defeat to Burnley. ,https://theage.com.au//sport/soccer/ugly-scenes-as-west-ham-fans-revolt-against-players-directors-during-defeat-to-burnley-20180311-p4z3tb.html,2018-03-11T10:23:24Z,2018-03-10T22:56:56Z,EPL,[]
759,p4z2zl,Chelsea feared the worst after Kante collapsed,N'Golo Kante suffered a frightening health scare ahead of Chelsea's 1-0 Premier League defeat at Manchester City when he fainted at the club's training ground.,https://theage.com.au//sport/soccer/chelsea-feared-the-worst-after-kante-collapsed-20180306-p4z2zl.html,2018-03-05T21:47:52Z,2018-03-06T00:00:00Z,EPL,[]
760,p4z2zw,Manchester United come from 2-0 down to win in last minute,Manchester United fought back from two goals down to beat struggling Crystal Palace 3-2 in a five-goal English Premier League thriller at Selhurst Park.,https://theage.com.au//sport/soccer/manchester-united-come-from-2-0-down-to-win-in-last-minute-20180306-p4z2zw.html,2018-03-06T01:37:52Z,2018-03-05T22:19:45Z,EPL,[]
761,p4z2zk,Guardiola accepts charge over his yellow ribbon, Pep Guardiola has accepted a Football Association charge over wearing a yellow ribbon in support of Catalan independence.,https://theage.com.au//sport/soccer/guardiola-accepts-charge-over-his-yellow-ribbon-20180306-p4z2zk.html,2018-03-05T21:21:41Z,2018-03-05T21:21:41Z,EPL,[]
762,p4z2yh,Premier League expected to introduce video assistant referees,"English FA chief expects the Premier League to embrace VAR after the system's permanent use was approved by lawmakers.

",https://theage.com.au//sport/soccer/premier-league-expected-to-introduce-video-assistant-referees-20180305-p4z2yh.html,2018-03-05T09:38:31Z,2018-03-05T09:38:31Z,EPL,[]
763,p4z2tb,Wenger's nightmare continues as Arsenal lose away to Brighton,"Socceroos goalkeeper Mat Ryan has helped pile pressure on Arsene Wenger, with Brighton beating Arsenal 2-1 in the Premier League.",https://theage.com.au//sport/soccer/wenger-s-nightmare-continues-as-arsenal-lose-away-to-brighton-20180305-p4z2tb.html,2018-03-05T00:11:33Z,2018-03-05T00:11:33Z,EPL,[]
764,p4z2qk,ALL EPL HIGHLIGHTS: Salah's goal run continues as Liverpool go second,"Salah scored for the seventh match running, taking his Liverpool total for the season to 32, when he put the home side ahead after 40 minutes.",https://theage.com.au//sport/soccer/all-epl-highlights-salah-s-goal-run-continues-as-liverpool-go-second-20180304-p4z2qk.html,2018-03-04T00:10:36Z,2018-03-04T00:07:33Z,EPL,[]
765,p4z2g7,"Manchester City humiliate Arsenal, pressure mounts on Arsene Wenger","Once more the focus will brutally be on Arsene Wenger, but it also needs to be on the beauty of Manchester City.",https://theage.com.au//sport/soccer/manchester-city-humiliate-arsenal-pressure-mounts-on-arsene-wenger-20180302-p4z2g7.html,2018-03-03T03:07:15Z,2018-03-03T03:07:15Z,EPL,[]
766,p4z1p0,"Lukaku punishes Chelsea at Old Trafford, Kane hands Spurs Palace win",Former Chelsea striker Romelu Lukaku played a key role in Manchester United's win at Old Trafford on Sunday.,https://theage.com.au//sport/soccer/lukaku-punishes-chelsea-at-old-trafford-kane-hands-spurs-palace-win-20180226-p4z1p0.html,2018-02-25T22:25:38Z,2018-02-25T14:56:05Z,EPL,[]
767,p4z1mm,Ruthless Liverpool run riot to go second in the Premier League,Liverpool stretch their unbeaten home run in the Premier League to 16 games and move to second after yet another devastating performance at Anfield.,https://theage.com.au//sport/soccer/ruthless-liverpool-run-riot-to-go-second-in-the-premier-league-20180225-p4z1mm.html,2018-02-25T05:37:27Z,2018-02-25T01:10:10Z,EPL,[]
768,p4z1ls,Zinchenko escapes from 'exile' to be a Ukrainian trailblazer,Oleksandr Zinchenko has been given a small but important role in Manchester City’s formidable season.,https://theage.com.au//sport/soccer/zinchenko-escapes-from-exile-to-be-a-ukrainian-trailblazer-20180224-p4z1ls.html,2018-02-24T07:48:02Z,2018-02-24T07:48:02Z,EPL,[]
769,p4z1fq,Can English Premier League clubs conquer Europe?,English clubs were once rulers of the continent - in the dim and distant past. But their Champions League success this season suggests they could do so again.,https://theage.com.au//sport/soccer/can-english-premier-league-clubs-conquer-europe-20180223-p4z1fq.html,2018-02-23T02:10:21Z,2018-02-23T02:10:21Z,England,"['Analysis', 'EPL']"
770,p4z0q7,Manchester United ease into FA Cup quarter-finals,Romelu Lukaku extended his impressive FA Cup scoring record by netting twice in Manchester United's 2-0 win at Huddersfield.,https://theage.com.au//sport/soccer/manchester-united-ease-into-fa-cup-quarter-finals-20180218-p4z0q7.html,2018-02-18T01:27:31Z,2018-02-18T01:04:36Z,EPL,[]
771,p4z04w,Eden Hazard eases EPL pressure on manager Antonio Conte,Antonio Conte received vocal backing from Chelsea supporters during a 3-0 victory over West Bromwich Albion on Monday.,https://theage.com.au//sport/soccer/eden-hazard-eases-epl-pressure-on-manager-antonio-conte-20180213-p4z04w.html,2018-02-13T01:02:36Z,2018-02-13T01:02:36Z,EPL,[]
772,p4yzz3,Newcastle in shock Premier League win over Manchester United,Matt Ritchie scored the winner to give Newcastle United a crucial 1-0 win over Manchester United.,https://theage.com.au//sport/soccer/newcastle-in-shock-premier-league-win-over-manchester-united-20180212-p4yzz3.html,2018-02-11T16:45:16Z,2018-02-11T16:45:16Z,EPL,[]
773,p4yzxe,Mat Ryan the Brighton hero after penalty save,Socceroos goalkeeper Mat Ryan's magnificent late penalty save has salvaged a precious Premier League point for Brighton & Hove Albion.,https://theage.com.au//sport/soccer/mat-ryan-the-brighton-hero-after-penalty-save-20180211-p4yzxe.html,2018-02-11T00:05:10Z,2018-02-11T00:04:35Z,EPL,[]
